Bee species	Plant genus	Plant species	Plant family	Females	Males
	Eucalyptus	punctata	Myrtaceae	1	
	Leptospermum	polygalifolium	Myrtaceae	4	1
Callohesma calliopsella					
	Corymbia	tesselaris	Myrtaceae	3	
	Eucalyptus		Myrtaceae		1
	Eucalyptus	bridgesiana	Myrtaceae	4	
	Eucalyptus	burgessiana	Myrtaceae	2	
	Eucalyptus	punctata	Myrtaceae	1	
	Leptospermum	polygalifolium	Myrtaceae	2	6
Callohesma calliopsiformis					
	Angophora	costata	Myrtaceae	1	
	Angophora	floribunda	Myrtaceae	3	1
	Eucalyptus	bridgesiana	Myrtaceae	1	
	Eucalyptus	burgessiana	Myrtaceae	1	5
	Eucalyptus		Myrtaceae	5	4
	Leptospermum	polygalifolium	Myrtaceae	2	2
Callohesma euxantha					
	Angophora	floribunda	Myrtaceae	3	2
Callohesma flavopicta					
	Angophora	floribunda	Myrtaceae	1	
	Angophora	hispida	Myrtaceae	1	
	Eremophila	mitchellii	Scrophulariaceae	1	
	Eucalyptus	burgessiana	Myrtaceae	2	
	Eucalyptus	socialis	Myrtaceae	1	2
	Leptospermum	polygalifolium	Myrtaceae		1
Callohesma occidentalis					
	Melaleuca		Myrtaceae	1	
Callohesma ornatula					
	Eucalyptus		Myrtaceae	1	
Callohesma pedalis					
	Eucalyptus		Myrtaceae	2	
Callohesma quadrimaculata					
	Eucalyptus	bridgesiana	Myrtaceae	2	
Callohesma queenslandensis					
	Eucalyptus		Myrtaceae		9
Callohesma sinapipes					
	Eucalyptus		Myrtaceae	1	
	Eucalyptus	dumosa	Myrtaceae	3	
Callohesma skermani					
	Melaleuca		Myrtaceae	5	3
Callohesma sulphurea					
	Eucalyptus		Myrtaceae	1	
Callomelitta antipodes					
	Acacia	suavolens	Fabaceae	2	
	Banksia	spinulosa	Proteaceae	2	
	Eucalyptus		Myrtaceae		1
	Hakea	dactyloides	Proteaceae		2
	Kunzea	ambigua	Myrtaceae		1
	Lambertia	formosa	Proteaceae	2	
	Leptospermum	continentale	Myrtaceae		3
	Leptospermum	polygalifolium	Myrtaceae	1	
	Melaleuca	uncinata	Myrtaceae	1	
	Monotoca	scoparia	Ericaceae	1	1
	Petrophile	pulchella	Proteaceae	1	
Callomelitta littleri					
	Pultenaea	ferruginea	Fabaceae	1	
Callomelitta picta					
	Pastinaca	sativa	Apiaceae		2
Chrysocolletes moretonianus					
	Goodenia	bellidifolia	Goodeniaceae	1	
	Goodenia	macbarronii	Goodeniaceae	2	2
Ctenocolletes albomarginatus					
	Baeckea		Myrtaceae		1
Ctenocolletes centralis					
	Acacia		Fabaceae	1	
Ctenocolletes smaragdinus					
	Grevillea	didymobotrya	Proteaceae	1	
Dasyhesma brevipalpa					
	Thryptomene		Myrtaceae	2	
Euhesma (Euhesma) altitudinis					
	Leptospermum	grandifolium	Myrtaceae		7
	Leptospermum	rotundifolium	Myrtaceae	3	9
	Leptospermum	trinervum	Myrtaceae		1
Euhesma (Euhesma) atra					
	Eremophila	scoparia	Scrophulariaceae	3	4
Euhesma (Euhesma) aulaca					
	Eremophila	scoparia	Scrophulariaceae	8	2
Euhesma (Euhesma) aurata					
	Eremophila	longifolia	Scrophulariaceae	3	8
Euhesma (Euhesma) balladonia					
	Eremophila		Scrophulariaceae	1	
Euhesma (Euhesma) banksia					
	Banksia	ericifolia	Proteaceae		3
	Banksia	integrifolia	Proteaceae	3	3
	Banksia	marginata	Proteaceae	2	2
	Banksia	oblongifolia	Proteaceae	2	3
	Banksia	serrata	Proteaceae		6
	Banksia	spinulosa	Proteaceae	8	2
	Leucopogon		Ericaceae	1	1
	Monotoca	scoparia	Ericaceae	8	1
	Pultenaea	tuberculata	Fabaceae		3
Euhesma (Euhesma) bronzus					
	Eucalyptus	calycogona	Myrtaceae	2	1
