Bee species	Flower genus	Flower species	Flower family	Females	Males
	Dianella		Hemerocallidaceae	1	
	Eremophila	mitchellii	Scrophulariaceae	2	
	Mirbelia	platylobioides	Fabaceae	1	
	Senna		Fabaceae	1	
Lasioglossum (Chilalictus) carpobrotum					
	Disphyma	crassifolium	Aizoaceae	6	2
Lasioglossum (Chilalictus) castor					
	Callistemon		Myrtaceae	1	
	Kunzea		Myrtaceae	1	
Lasioglossum (Chilalictus) chapmani					
	Acacia	buxifolia	Fabaceae	1	
	Bursaria	spinosa	Pittosporaceae	2	
	Eremophila	deserti	Scrophulariaceae	1	
	Eucalyptus	piperita	Myrtaceae	1	
	Eucalyptus		Myrtaceae	1	
	Goodenia	bellidifolia	Goodeniaceae	1	
	Melaleuca		Myrtaceae	2	
	Micromyrtus	blakelyi	Myrtaceae	1	
	Phyllota	phylicoides	Fabaceae	1	
	Scabiosa		Caprifoliaceae		1
	Xerochrysum	bracteatum	Asteraceae	2	
Lasioglossum (Chilalictus) clelandi					
	Taraxacum	officinale	Asteraceae	1	1
	Bulbine	bulbosa	Asphodelaceae	1	
	Daviesia	mimosoides	Fabaceae	3	
	Hardenbergia	violacea	Fabaceae	4	
	Hebe		Plantaginaceae	1	
	Hibbertia	rufa	Dilleniaceae	1	
	Isopogon	anemonifolius	Proteaceae	1	
	Melaleuca	decussata	Myrtaceae		3
	Phyllota	phylicoides	Fabaceae		1
	Platylobium		Fabaceae	1	
	Pultenaea	flexilis	Fabaceae	1	
	Pultenaea	linophylla	Fabaceae	3	
	Pultenaea	microphylla	Fabaceae	2	
	Pultenaea	procumbens	Fabaceae	1	
	Pultenaea	scabra	Fabaceae	1	
	Pultenaea		Fabaceae	1	
	Pultenaea	subspicata	Fabaceae	2	
	Ranunculus		Ranunculaceae		1
	Wahlenbergia		Campanulaceae	2	1
Lasioglossum (Chilalictus) cognatum					
	Taraxacum	officinale	Asteraceae	2	2
	Calotis	cuneifolia	Asteraceae	1	
	Calotis		Asteraceae	2	
	Disphyma	crassifolium	Aizoaceae	2	
	Eremophila	bowmanii	Scrophulariaceae	1	
	Eremophila	deserti	Scrophulariaceae	1	2
	Eremophila	gilesii	Scrophulariaceae	4	
	Eremophila	polyclada	Scrophulariaceae	3	
	Eucalyptus		Myrtaceae	1	
	Goodenia	macbarronii	Goodeniaceae		1
	Leucochrysum	albicans	Asteraceae	6	
	Melaleuca	decussata	Myrtaceae	2	3
	Polycalymma	stuartii	Asteraceae	3	
	Ptilotus	helipteroides	Amaranthaceae	2	
	Pultenaea	procumbens	Fabaceae	1	
	Reichardia	tingitana	Asteraceae	2	
	Sida		Malvaceae	1	
	Swainsona	swainsonioides	Fabaceae	1	
	Wahlenbergia		Campanulaceae	30	12
Lasioglossum (Chilalictus) convexum					
	Angophora	hispida	Myrtaceae	1	
	Boronia	ledifolia	Rutaceae	2	
	Bursaria	spinosa	Pittosporaceae	2	
	Cryptandra	spinescens	Rhamnaceae	1	
	Eremophila	mitchellii	Scrophulariaceae	1	
	Goodenia	bellidifolia	Goodeniaceae	1	
	Hibbertia		Dilleniaceae	1	
	Jacksonia	scoparia	Fabaceae	1	
	Monotoca	scoparia	Ericaceae	1	
	Platysace	linearifolia	Apiaceae	1	
	Prostanthera	scutellarioides	Lamiaceae	1	
	Pultenaea	microphylla	Fabaceae	3	
	Pultenaea	villosa	Fabaceae	1	
	Scaevola		Goodeniaceae	4	
Lasioglossum (Chilalictus) demicapillum					
	Wahlenbergia		Campanulaceae	5	6
Lasioglossum (Chilalictus) ebeneum					
	Bossiaea	heterophylla	Fabaceae	1	
	Calotis	cuneifolia	Asteraceae	1	
	Corymbia	terminalis	Myrtaceae		1
	Dianella	longifolia	Hemerocallidaceae	2	
	Dillwynia	tenuifolia	Fabaceae	1	
	Eremophila	longifolia	Scrophulariaceae	5	
	Eremophila	mitchellii	Scrophulariaceae	13	
	Eremophila		Scrophulariaceae	2	
	Eremophila	sturtii	Scrophulariaceae	6	
	Hakea	tephrosperma	Proteaceae	1	
	Jacksonia	scoparia	Fabaceae	1	
	Keraudrenia	integrifolia	Malvaceae	2	
	Micromyrtus	blakelyi	Myrtaceae	1	
	Monotoca	scoparia	Ericaceae	1	
	Petalostylis	labicheoides	Fabaceae	1	
	Platysace	linearifolia	Apiaceae	1	
Lasioglossum (Chilalictus) eremaean					
	Acacia	oswaldi	Fabaceae	1	
	Cullen	australasicum	Fabaceae	1	
	Disphyma	crassifolium	Aizoaceae	1	
	Eremophila	christophori	Scrophulariaceae	1	
	Eremophila	deserti	Scrophulariaceae	4	1
	Eremophila	sturtii	Scrophulariaceae	10	1
	Frankenia		Frankeniaceae		1
	Leucochrysum	albicans	Asteraceae	11	
	Mesembryanthemum	crystallinum	Aizoaceae	3	
	Polycalymma	stuartii	Asteraceae	14	8
	Reichardia	tingitana	Asteraceae	2	
	Swainsona	purpurea	Fabaceae	1	
	Wahlenbergia		Campanulaceae	5	1
Lasioglossum (Chilalictus) eremophilum					
	Eremophila	scoparia	Scrophulariaceae	2	
	Melaleuca		Myrtaceae		1
Lasioglossum (Chilalictus) erythrurum					
	Taraxacum	officinale	Asteraceae		1
	Angophora	floribunda	Myrtaceae	2	1
	Angophora	hispida	Myrtaceae	1	
	Bursaria	spinosa	Pittosporaceae	1	
	Echium	plantagineum	Boraginaceae	3	
	Eremophila	deserti	Scrophulariaceae		1
	Eucalyptus	robusta	Myrtaceae	2	
	Eucalyptus	sideroxylon	Myrtaceae	1	1
	Hakea	tephrosperma	Proteaceae		1
	Hibbertia		Dilleniaceae	1	
	Kunzea	ambigua	Myrtaceae	1	
	Leptospermum	polygalifolium	Myrtaceae		1
	Leptospermum		Myrtaceae	1	1
	Melaleuca		Myrtaceae	1	
	Melaleuca	uncinata	Myrtaceae		1
	Mirbelia	platylobioides	Fabaceae		3
	Monotoca	scoparia	Ericaceae	3	
	Platysace	linearifolia	Apiaceae	1	1
	Senna		Fabaceae	1	
Lasioglossum (Chilalictus) eurycephalum					
	Brunonia	australis	Goodeniaceae	1	
	Eremophila	bowmanii	Scrophulariaceae	1	
	Eremophila	goodwinii	Scrophulariaceae	2	
	Eremophila	mitchellii	Scrophulariaceae	2	
	Eremophila	sturtii	Scrophulariaceae	3	
	Minuria	leptophylla	Asteraceae	1	
	Senna	artemisiodes	Fabaceae	1	
	Senna		Fabaceae	7	
Lasioglossum (Chilalictus) expansifrons					
	Acacia	colletoides	Fabaceae	3	
	Acacia	johnsonii	Fabaceae	1	
