Bee species	Flower genus	Flower species	Flower family	Females	Males
Euryglossina (Euryglossina) doddi					
	Corymbia	terminalis	Myrtaceae	2	4
Euryglossina (Euryglossina) flaviventris					
	Callistemon	citrinus	Myrtaceae	2	
	Corymbia	tesselaris	Myrtaceae	1	
Euryglossina (Euryglossina) flavolateralis					
	Angophora	floribunda	Myrtaceae	1	
	Corymbia	eximia	Myrtaceae	1	
	Eucalyptus		Myrtaceae	1	
Euryglossina (Euryglossina) fuscescens					
	Angophora	floribunda	Myrtaceae	3	1
	Angophora	hispida	Myrtaceae	2	
	Brachychiton	populneum	Malvaceae	5	
	Callistemon	citrinus	Myrtaceae	6	
	Callistemon		Myrtaceae	2	2
	Leptospermum	polygalifolium	Myrtaceae	1	
	Leptospermum	trinervum	Myrtaceae	1	
Euryglossina (Euryglossina) gilberti					
	Angophora	hispida	Myrtaceae		1
	Corymbia	eximia	Myrtaceae	3	2
	Leptospermum		Myrtaceae	2	
Euryglossina (Euryglossina) glauerti					
	Corymbia	terminalis	Myrtaceae	1	3
Euryglossina (Euryglossina) globuliceps					
	Angophora	floribunda	Myrtaceae	2	
	Angophora	hispida	Myrtaceae	3	
	Callistemon	citrinus	Myrtaceae	3	
	Corymbia	eximia	Myrtaceae	1	
	Eucalyptus	racemosa	Myrtaceae	1	
	Leptospermum	polygalifolium	Myrtaceae	4	
	Leptospermum	trinervum	Myrtaceae	1	
Euryglossina (Euryglossina) gracilis					
	Angophora	floribunda	Myrtaceae	1	
	Angophora	hispida	Myrtaceae	4	
	Callistemon	citrinus	Myrtaceae	1	
	Corymbia	eximia	Myrtaceae	2	
	Leptospermum	polygalifolium	Myrtaceae	9	
	Leptospermum		Myrtaceae	1	
Euryglossina (Euryglossina) hypochroma					
	Angophora	floribunda	Myrtaceae	7	1
	Angophora	hispida	Myrtaceae	2	
	Callistemon	citrinus	Myrtaceae	2	3
	Callistemon		Myrtaceae	4	7
	Corymbia	eximia	Myrtaceae	1	1
	Corymbia	gummifera	Myrtaceae	1	
	Eucalyptus		Myrtaceae	1	
	Eucalyptus	diversifolia	Myrtaceae	2	
	Eucalyptus	robusta	Myrtaceae	1	5
	Eucalyptus		Myrtaceae	8	
	Eucalyptus		Myrtaceae	8	2
	Leptospermum	polygalifolium	Myrtaceae		2
	Leptospermum		Myrtaceae	1	4
	Melaleuca		Myrtaceae	2	2
Euryglossina (Euryglossina) intermedia					
	Angophora	floribunda	Myrtaceae	5	9
	Angophora	hispida	Myrtaceae	2	1
	Brachychiton	populneum	Malvaceae	2	
	Eucalyptus		Myrtaceae	2	
	Leptospermum	polygalifolium	Myrtaceae		1
	Leptospermum		Myrtaceae	1	
Euryglossina (Euryglossina) leyburnensis					
	Callistemon	citrinus	Myrtaceae	1	
	Leptospermum	polygalifolium	Myrtaceae	1	
Euryglossina (Euryglossina) lynettae					
	Callistemon	citrinus	Myrtaceae	10	
	Leptospermum	polygalifolium	Myrtaceae	4	
Euryglossina (Euryglossina) macrostoma					
	Angophora	hispida	Myrtaceae	1	
	Corymbia	eximia	Myrtaceae	2	4
Euryglossina (Euryglossina) melanocephala					
	Corymbia	terminalis	Myrtaceae	1	
	Eucalyptus		Myrtaceae	1	
Euryglossina (Euryglossina) micheneri					
	Angophora	floribunda	Myrtaceae	1	
	Callistemon		Myrtaceae	1	
	Eucalyptus	crebra	Myrtaceae	1	2
	Eucalyptus		Myrtaceae	1	3
Euryglossina (Euryglossina) nigra					
	Angophora	hispida	Myrtaceae	3	
	Wahlenbergia		Campanulaceae	1	
Euryglossina (Euryglossina) nothula					
	Angophora	hispida	Myrtaceae	1	
Euryglossina (Euryglossina) perpusilla					
	Leptospermum	polygalifolium	Myrtaceae	4	
Euryglossina (Euryglossina) philoxantha					
	Angophora	floribunda	Myrtaceae		1
	Astrotricha	latifolia	Araliaceae		2
	Brachychiton	populneum	Malvaceae		1
	Eucalyptus		Myrtaceae		9
	Leptospermum		Myrtaceae		2
	Syncarpia	glomulifera	Myrtaceae		5
Euryglossina (Euryglossina) proctotrypoides					
	Angophora	floribunda	Myrtaceae	1	
	Angophora	hispida	Myrtaceae		2
	Callistemon		Myrtaceae	1	
	Corymbia	tesselaris	Myrtaceae	1	
	Eucalyptus		Myrtaceae	2	
	Eucalyptus	diversifolia	Myrtaceae	2	
	Leptospermum		Myrtaceae		3
	Melaleuca		Myrtaceae		3
Euryglossina (Euryglossina) pseudoatomaria					
	Callistemon	citrinus	Myrtaceae	1	
	Callistemon		Myrtaceae	1	
	Corymbia	eximia	Myrtaceae	2	
	Leptospermum		Myrtaceae	1	
Euryglossina (Euryglossina) psilosoma					
	Brachychiton	populneum	Malvaceae		1
	Callistemon	citrinus	Myrtaceae	1	
	Corymbia	eximia	Myrtaceae	1	
	Corymbia	terminalis	Myrtaceae	1	
	Eucalyptus		Myrtaceae	2	
	Leptospermum	trinervum	Myrtaceae	1	
Euryglossina (Euryglossina) pulcherrima					
	Angophora	hispida	Myrtaceae	1	
Euryglossina (Euryglossina) pulchra					
	Leptospermum	polygalifolium	Myrtaceae	2	
Euryglossina (Euryglossina) semipurpurea					
	Angophora	floribunda	Myrtaceae	1	
Euryglossina (Euryglossina) sp. D Exley					
	Callistemon	citrinus	Myrtaceae		1
	Leptospermum	polygalifolium	Myrtaceae		1
Euryglossina (Euryglossina) sp. F Exley					
	Corymbia	eximia	Myrtaceae		1
	Corymbia	ficifolia	Myrtaceae		4
Euryglossina (Euryglossina) sp. H Exley					
	Angophora	hispida	Myrtaceae		1
Euryglossina (Euryglossina) sp. I Exley					
	Callistemon		Myrtaceae		1
Euryglossina (Euryglossina) sp. J Exley					
	Angophora	hispida	Myrtaceae		1
Euryglossina (Euryglossina) sp. O Exley					
	Callistemon	citrinus	Myrtaceae		2
	Corymbia	eximia	Myrtaceae		1
Euryglossina (Euryglossina) sp. P Exley					
	Angophora	hispida	Myrtaceae		1
	Corymbia	eximia	Myrtaceae		1
	Persoonia	linearis	Proteaceae		1
Euryglossina (Euryglossina) stygia					
	Angophora	floribunda	Myrtaceae	2	1
Euryglossina (Euryglossina) sulcata					
	Angophora	floribunda	Myrtaceae	1	3
	Callistemon	citrinus	Myrtaceae	4	
	Corymbia	eximia	Myrtaceae	1	
	Leptospermum	polygalifolium	Myrtaceae	3	
Euryglossina (Euryglossina) xanthocephala					
	Leptospermum	polygalifolium	Myrtaceae	1	
Euryglossina (Euryglossina) xanthogena					
	Angophora	floribunda	Myrtaceae	2	
	Leptospermum	trinervum	Myrtaceae		2
Euryglossina (Microdontura) mellea					
	Angophora	floribunda	Myrtaceae	1	
Euryglossina (Quasihesma) cardaleae					
	Leptospermum	polygalifolium	Myrtaceae		1
	Leptospermum	trinervum	Myrtaceae		1
Euryglossina sp. unsorted					
	Angophora	hispida	Myrtaceae	4	3
	Calytrix	longiflora	Myrtaceae		11
Euryglossula chalcosoma					
	Angophora	floribunda	Myrtaceae		3
	Callistemon		Myrtaceae	6	2
	Corymbia	tesselaris	Myrtaceae	4	
	Eucalyptus	cloeziana	Myrtaceae	1	
	Eucalyptus		Myrtaceae	2	1
	Leptospermum	polygalifolium	Myrtaceae	1	1
	Leptospermum	trinervum	Myrtaceae	6	10
Euryglossula elizabethae					
	Eremophila	deserti	Scrophulariaceae	22	11
Euryglossula eremophilae					
	Eremophila	sturtii	Scrophulariaceae	2	1
Euryglossula flava					
	Corymbia	terminalis	Myrtaceae	18	44
Euryglossula fultoni					
	Eucalyptus		Myrtaceae	1	29
	Eucalyptus	leucoxylon	Myrtaceae	1	1
	Eucalyptus	socialis	Myrtaceae	9	10
	Eucalyptus		Myrtaceae	12	1
	Eucalyptus	viridis	Myrtaceae	7	7
	Melaleuca		Myrtaceae	8	
	Myoporum		Scrophulariaceae	2	
Euryglossula pallida					
	Corymbia	terminalis	Myrtaceae	16	14
Euryglossula pinnulata					
	Calytrix	longiflora	Myrtaceae	23	18
Euryglossula purpurea					
	Corymbia	terminalis	Myrtaceae	17	4
Euryglossula scalaris					
	Corymbia	terminalis	Myrtaceae	11	12
Goniocolletes albopilosus					
	Adenanthos	terminalis	Proteaceae	2	2
	Leucopogon	rufus	Ericaceae		1
	Melaleuca	uncinata	Myrtaceae	2	
	Pultenaea		Fabaceae	1	
Goniocolletes parvus					
	Eucalyptus		Myrtaceae	2	1
Goniocolletes perfasciatus					
	Eucalyptus		Myrtaceae	2	
Goniocolletes sp. unsorted					
	Tribulus	terrestris	Zygophyllaceae	1	
Hylaeus (Edriohylaeus) ofarrelli					
	Angophora	floribunda	Myrtaceae	1	2
	Astrotricha	latifolia	Araliaceae	1	2
	Eucalyptus		Myrtaceae		1
	Hibbertia	scandens	Dilleniaceae	3	2
	Jacksonia	scoparia	Fabaceae		1
	Leptospermum		Myrtaceae		2
	Platysace	ericoides	Apiaceae		1
Hylaeus (Euprosopellus) certus					
	Angophora	hispida	Myrtaceae		1
Hylaeus (Euprosopellus) chrysaspis					
	Eucalyptus		Myrtaceae	1	
	Hakea		Proteaceae		2
	Leptospermum	continentale	Myrtaceae		3
Hylaeus (Euprosopellus) dromedarius					
	Eucalyptus	socialis	Myrtaceae	1	
Hylaeus (Euprosopis) disjunctus					
	Callistemon		Myrtaceae		2
	Melaleuca		Myrtaceae	1	
Hylaeus (Euprosopis) elegans					
	Angophora	floribunda	Myrtaceae	1	
	Callistemon		Myrtaceae	1	3
	Corymbia	tesselaris	Myrtaceae	1	2
	Corymbia		Myrtaceae	1	
	Corymbia	terminalis	Myrtaceae		1
	Eremophila	deserti	Scrophulariaceae		1
	Eremophila	polyclada	Scrophulariaceae		1
	Eucalyptus		Myrtaceae		1
	Eucalyptus	albens	Myrtaceae		2
	Eucalyptus	canaliculata	Myrtaceae	1	
	Eucalyptus	crebra	Myrtaceae	1	
	Eucalyptus	dumosa	Myrtaceae	1	3
	Eucalyptus	piperita	Myrtaceae	1	
	Eucalyptus	sideroxylon	Myrtaceae	1	
	Eucalyptus		Myrtaceae	1	1
	Hakea	tephrosperma	Proteaceae		1
	Leptospermum	polygalifolium	Myrtaceae	1	
	Melaleuca	uncinata	Myrtaceae	1	
	Monotoca	scoparia	Ericaceae		2
	Wahlenbergia		Campanulaceae		1
Hylaeus (Euprosopis) honestus					
	Acacia	parramattensis	Fabaceae		1
	Acacia	suavolens	Fabaceae	1	
	Angophora	hispida	Myrtaceae	1	
	Callistemon		Myrtaceae	3	3
	Calytrix	tetragona	Myrtaceae	1	
	Corymbia	gummifera	Myrtaceae		1
	Eucalyptus		Myrtaceae		1
	Eucalyptus	diversifolia	Myrtaceae	1	
	Eucalyptus	piperita	Myrtaceae	1	
	Eucalyptus	sideroxylon	Myrtaceae	1	
	Eucalyptus		Myrtaceae	1	
	Eucalyptus	yalatensis	Myrtaceae		1
	Kunzea	ambigua	Myrtaceae	1	
	Leptospermum	continentale	Myrtaceae		2
	Leptospermum	myrsinoides	Myrtaceae		1
	Melaleuca	decussata	Myrtaceae		1
	Melaleuca	nodosa	Myrtaceae		3
	Melaleuca		Myrtaceae	1	2
	Monotoca	scoparia	Ericaceae		2
Hylaeus (Euprosopis) husela					
	Corymbia	terminalis	Myrtaceae		2
Hylaeus (Euprosopis) violaceus					
	Eucalyptus		Myrtaceae	4	
	Grevillea	excelsior	Proteaceae		1
Hylaeus (Euprosopoides) musgravei					
	Banksia	grandis	Proteaceae	2	1
